date,SBI_Bluechip,ICICI_Bluechip,Nippon_Large_Cap,Axis_Bluechip,Kotak_Bluechip
2014-01-21,103.5305,17.4136,15.0291,26.3506,33.2731
2014-01-22,103.5532,17.4253,15.111,26.357,33.271
2014-01-23,103.5792,17.459,15.0994,26.3633,33.2825
2014-01-24,103.6008,17.2293,14.9307,26.3696,33.2323
2014-01-26,103.6008,17.2293,14.9307,26.3823,33.2323
2014-01-27,103.6718,16.949,14.6153,26.3887,33.1357
2014-01-28,103.6757,16.9029,14.531,26.3949,33.0627
2014-01-29,103.4118,16.9315,14.5958,26.4011,33.059
2014-01-30,103.4259,16.8303,14.4573,26.4072,32.9481
2014-01-31,103.4429,16.9655,14.6318,26.4134,33.0176
2014-02-02,103.4429,16.9655,14.6318,26.4258,33.0176
2014-02-03,103.5223,16.8643,14.4507,26.4319,33.0118
2014-02-04,103.5533,16.886,14.465,26.4381,32.9965
2014-02-05,103.5806,16.9623,14.4861,26.4443,33.0271
2014-02-06,103.6157,16.9746,14.4906,26.4505,33.0351
2014-02-07,103.6364,17.0349,14.5266,26.4568,33.0979
2014-02-09,103.6364,17.0349,14.5266,26.4692,33.0979
2014-02-10,103.7039,17.0094,14.4875,26.4754,33.1096
2014-02-11,103.7273,17.0838,14.5698,26.4816,33.0822
2014-02-12,103.7487,17.1504,14.6409,26.4878,33.0892
2014-02-13,103.7594,16.9622,14.4582,26.494,33.0386
2014-02-14,103.785,17.0933,14.5321,26.5002,33.0458
2014-02-16,103.785,17.0933,14.5321,26.5127,33.0458
2014-02-17,103.4821,17.1245,14.5667,26.5189,33.1427
2014-02-18,103.5059,17.3448,14.7053,26.5252,33.2698
2014-02-19,103.5059,17.4558,14.8192,26.5314,33.2091
2014-02-20,103.5667,17.3602,14.7635,26.5376,33.2042
2014-02-21,103.5927,17.534,14.9225,26.5438,33.2961
2014-02-23,103.5927,17.534,14.9225,26.5563,33.2961
2014-02-24,103.6626,17.6829,15.0174,26.5625,33.4027
2014-02-25,103.687,17.7507,15.0578,26.569,33.443
2014-02-26,103.7081,17.8435,15.1423,26.5753,33.5375
2014-02-27,103.7081,17.8435,15.1423,26.5816,33.5375
2014-02-28,103.7646,17.9986,15.2367,26.5879,33.4958
2014-03-02,103.7646,17.9986,15.2367,26.6005,33.4958
2014-03-03,103.4879,17.9248,15.108,26.6068,33.4822
2014-03-04,103.4922,18.0637,15.3215,26.6132,33.6518
2014-03-05,103.5515,18.1757,15.4493,26.6196,33.72
2014-03-06,103.5859,18.338,15.624,26.626,33.822
2014-03-07,103.6353,18.4912,15.7893,26.6326,33.8733
2014-03-09,103.6353,18.4912,15.7893,26.6458,33.8733
2014-03-10,103.746,18.5498,15.8336,26.6523,33.8479
2014-03-11,103.8533,18.5457,15.7797,26.6589,33.9443
2014-03-12,103.8563,18.6535,15.775,26.6656,33.918
2014-03-13,103.9202,18.6354,15.7414,26.6724,33.8708
2014-03-14,103.9564,18.6636,15.7305,26.6792,33.8191
2014-03-17,103.9564,18.6636,15.7305,26.6993,33.8191
2014-03-18,104.0619,18.7905,15.856,26.7062,33.8637
2014-03-19,104.0916,18.8426,15.8849,26.7131,33.908
2014-03-20,104.0972,18.8054,15.7631,26.7201,33.9027
2014-03-21,104.2069,18.8267,15.8077,26.727,33.9409
2014-03-23,104.2069,18.8267,15.8077,26.7409,33.9409
2014-03-24,104.3035,19.0559,15.9637,26.7484,34.0039
2014-03-25,104.4319,19.1559,16.0131,26.7554,33.9937
2014-03-26,104.3934,19.1321,16.0209,26.7624,33.998
2014-03-27,104.4245,19.1714,16.1047,26.7694,34.1115
2014-03-28,104.6408,19.3006,16.295,26.7777,34.2524
2014-03-31,104.7403,19.4192,16.4337,26.805,34.3716
2014-04-01,104.7403,19.2809,16.3998,26.8131,34.4386
2014-04-02,104.6459,19.3511,16.5762,26.8201,34.4663
2014-04-03,104.6613,19.3331,16.5041,26.8272,34.4587
2014-04-04,104.6173,19.2274,16.4255,26.8337,34.5208
2014-04-06,104.6173,19.2274,16.4255,26.8477,34.5208
2014-04-07,104.6708,19.227,16.4194,26.8542,34.5081
2014-04-08,104.6708,19.227,16.4194,26.8612,34.5081
2014-04-09,104.6926,19.4787,16.636,26.8678,34.6294
2014-04-10,104.7079,19.5023,16.6791,26.8747,34.6955
2014-04-11,104.7961,19.4665,16.5678,26.8814,34.8263
2014-04-14,104.7961,19.4665,16.5678,26.9019,34.8263
2014-04-15,104.8973,19.4304,16.4793,26.9086,34.8415
2014-04-16,104.979,19.2266,16.2824,26.9154,34.8088
2014-04-17,104.9728,19.4383,16.5079,26.9221,35.0202
2014-04-20,104.9728,19.4383,16.5079,26.9423,35.0202
2014-04-21,105.1503,19.5891,16.6546,26.949,35.2201
2014-04-22,105.3231,19.6741,16.6901,26.9557,35.2249
2014-04-23,105.3895,19.8523,16.755,26.9624,35.277
2014-04-24,105.3895,19.8523,16.755,26.9691,35.277
2014-04-25,105.4519,19.6863,16.6603,26.9753,35.3158
2014-04-27,105.4519,19.6863,16.6603,26.9891,35.3158
2014-04-28,105.5157,19.7565,16.643,26.9958,35.4212
2014-04-29,105.6008,19.6588,16.4949,27.0024,35.3096
2014-04-30,105.6958,19.5769,16.4493,27.009,35.1457
2014-05-01,105.6958,19.5769,16.4493,27.0157,35.1457
2014-05-02,105.7909,19.6001,16.4055,27.0224,35.0865
2014-05-04,105.7909,19.6001,16.4055,27.0356,35.0865
2014-05-05,105.9859,19.615,16.4094,27.0422,35.0838
2014-05-06,106.009,19.6623,16.4314,27.0488,35.0292
2014-05-07,106.0297,19.6396,16.3084,27.0553,34.9808
2014-05-08,106.0486,19.706,16.3463,27.0619,34.9568
2014-05-09,106.1508,20.0994,16.7704,27.0686,35.1143
2014-05-11,106.1508,20.0994,16.7704,27.0815,35.1143
